lesen;читать;е
zu Abend essen;ужинать;е
eilen;спешить;и
wollen;хотеть;х;хочу;хочешь;хочет;хотим;хотите;хотят
kaufen;покупать;е
trinken;пить;е3ь
zu Mittag essen;обедать;е
frühstücken;завтракать;е
warten;ждать;е3
zubereiten, kochen;готовить;ил
sprechen;говорить;и
rauchen;курить;и
lernen;учить;и
schauen;смотреть;и
stehen;стоять;и
liegen;лежать;и
sitzen;сидеть;иж;
hängen;висеть;иш;
hören;слушать;е
arbeiten;работать;е
verstehen;понимать;е
spazieren gehen;гулять;е
machen;делать;е
wissen;знать;е
denken, glauben;думать;е
schreiben;писать;е4ш
gehen;идти;е
sich aufhalten;пребывать;е
sein;быть;х;есть;есть;есть;есть;есть;есть
sich erholen;отдыхать;е
malen;рисовать;еова
tanzen;танцевать;еева
leben;жить;ев
sich unterhalten;разговаривать;е
essen;есть;х;ем;ешь;ест;едим;едите;едят
wegtragen;относить;иш
laufen;бегать;е
sehen;видеть;иж
spielen;играть;е
bedeuten;значить;и
anfangen;начинать;е
begrüßen;приветствовать;еова
bringen;приносить;иш
